age,sex,smoking,coverage,payment
24,M,Y,150000,24.34
24,M,Y,200000,29.53
24,M,Y,250000,36.28
24,M,Y,300000,38.87
24,M,Y,350000,45.16
24,M,Y,400000,50.75
24,M,Y,500000,60.78
24,M,Y,600000,65.51
24,M,Y,700000,75.43
24,M,Y,800000,85.35
24,M,Y,1000000,104.03
24,F,N,100000,15.00
24,F,N,150000,15.00
24,F,N,200000,15.00
24,F,N,250000,15.17
24,F,N,300000,16.45
24,F,N,350000,18.58
24,F,N,400000,20.67
24,F,N,500000,22.50
24,F,N,600000,25.80
24,F,N,700000,29.10
24,F,N,800000,32.40
24,F,N,1000000,37.90
24,F,Y,100000,15.00
24,F,Y,150000,15.00
24,F,Y,200000,17.92
24,F,Y,250000,21.19
24,F,Y,300000,23.52
24,F,Y,350000,26.85
24,F,Y,400000,30.55
24,F,Y,500000,34.30
24,F,Y,600000,38.18
24,F,Y,700000,43.54
24,F,Y,800000,48.90
24,F,Y,1000000,58.43
25,M,N,100000,15.00
25,M,N,150000,15.80
25,M,N,200000,18.41
25,M,N,250000,22.33
25,M,N,300000,24.62
25,M,N,350000,28.87
25,M,N,400000,32.13
25,M,N,500000,35.40
25,M,N,600000,41.28
25,M,N,700000,47.16
25,M,N,800000,53.04
25,M,N,1000000,61.53
25,M,Y,100000,16.62
25,M,Y,150000,24.15
25,M,Y,200000,29.29
25,M,Y,250000,35.97
25,M,Y,300000,38.54
25,M,Y,350000,44.76
25,M,Y,400000,50.30
25,M,Y,500000,60.23
25,M,Y,600000,64.91
25,M,Y,700000,74.73
25,M,Y,800000,84.55
25,M,Y,1000000,103.04
25,F,N,100000,15.00
25,F,N,150000,15.00
25,F,N,200000,15.00
25,F,N,250000,15.00
25,F,N,300000,16.12
25,F,N,350000,18.18
25,F,N,400000,20.20
25,F,N,500000,21.98
25,F,N,600000,25.17
25,F,N,700000,28.37
25,F,N,800000,31.56
25,F,N,1000000,36.89
25,F,Y,100000,15.00
25,F,Y,150000,15.00
25,F,Y,200000,18.20
25,F,Y,250000,21.56
25,F,Y,300000,23.93
25,F,Y,350000,27.35
25,F,Y,400000,31.13
25,F,Y,500000,34.98
25,F,Y,600000,38.94
25,F,Y,700000,44.43
25,F,Y,800000,49.92
25,F,Y,1000000,59.68
26,M,N,100000,15.00
26,M,N,150000,15.46
26,M,N,200000,17.99
26,M,N,250000,21.77
26,M,N,300000,23.98
26,M,N,350000,28.08
26,M,N,400000,31.23
26,M,N,500000,34.39
26,M,N,600000,40.07
26,M,N,700000,45.74
26,M,N,800000,51.42
26,M,N,1000000,59.62
26,M,Y,100000,16.47
26,M,Y,150000,23.90
26,M,Y,200000,28.97
26,M,Y,250000,35.55
26,M,Y,300000,38.09
26,M,Y,350000,44.22
26,M,Y,400000,49.68
26,M,Y,500000,59.48
26,M,Y,600000,64.09
26,M,Y,700000,73.78
26,M,Y,800000,83.46
26,M,Y,1000000,101.70
26,F,N,100000,15.00
26,F,N,150000,15.00
26,F,N,200000,15.00
26,F,N,250000,15.00
26,F,N,300000,15.88
26,F,N,350000,17.89
26,F,N,400000,19.87
26,F,N,500000,21.60
26,F,N,600000,24.72
26,F,N,700000,27.84
26,F,N,800000,30.96
26,F,N,1000000,36.16
26,F,Y,100000,15.00
26,F,Y,150000,15.00
26,F,Y,200000,17.72
26,F,Y,250000,20.94
26,F,Y,300000,23.22
26,F,Y,350000,26.50
26,F,Y,400000,30.14
26,F,Y,500000,33.83
26,F,Y,600000,37.64
26,F,Y,700000,42.91
26,F,Y,800000,48.18
26,F,Y,1000000,57.55
27,M,N,100000,15.00
27,M,N,150000,15.10
27,M,N,200000,17.53
27,M,N,250000,21.17
27,M,N,300000,23.29
27,M,N,350000,27.23
27,M,N,400000,30.27
27,M,N,500000,33.30
27,M,N,600000,38.76
27,M,N,700000,44.22
27,M,N,800000,49.68
27,M,N,1000000,57.57
27,M,Y,100000,16.36
27,M,Y,150000,23.72
27,M,Y,200000,28.73
27,M,Y,250000,35.25
27,M,Y,300000,37.75
27,M,Y,350000,43.83
27,M,Y,400000,49.23
27,M,Y,500000,58.92
27,M,Y,600000,63.49
27,M,Y,700000,73.07
27,M,Y,800000,82.65
27,M,Y,1000000,100.70
27,F,N,100000,15.00
27,F,N,150000,15.00
27,F,N,200000,15.00
27,F,N,250000,15.00
27,F,N,300000,15.38
27,F,N,350000,17.29
27,F,N,400000,19.17
27,F,N,500000,20.81
27,F,N,600000,23.78
27,F,N,700000,26.74
27,F,N,800000,29.70
27,F,N,1000000,34.64
27,F,Y,100000,15.00
27,F,Y,150000,15.00
27,F,Y,200000,17.18
27,F,Y,250000,20.26
27,F,Y,300000,22.44
27,F,Y,350000,25.57
27,F,Y,400000,29.04
27,F,Y,500000,32.56
27,F,Y,600000,36.20
27,F,Y,700000,41.23
27,F,Y,800000,46.26
27,F,Y,1000000,55.21
28,M,N,100000,15.00
28,M,N,150000,15.00
28,M,N,200000,17.27
28,M,N,250000,20.83
28,M,N,300000,22.91
28,M,N,350000,26.77
28,M,N,400000,29.73
28,M,N,500000,32.70
28,M,N,600000,38.04
28,M,N,700000,43.38
28,M,N,800000,48.72
28,M,N,1000000,56.43
28,M,Y,100000,16.20
28,M,Y,150000,23.44
28,M,Y,200000,28.37
28,M,Y,250000,34.79
28,M,Y,300000,37.26
28,M,Y,350000,43.23
28,M,Y,400000,48.55
28,M,Y,500000,58.09
28,M,Y,600000,62.59
28,M,Y,700000,72.02
28,M,Y,800000,81.45
28,M,Y,1000000,99.22
28,F,N,100000,15.00
28,F,N,150000,15.00
28,F,N,200000,15.00
28,F,N,250000,15.00
28,F,N,300000,15.57
28,F,N,350000,17.52
28,F,N,400000,19.43
28,F,N,500000,21.11
28,F,N,600000,24.14
28,F,N,700000,27.16
28,F,N,800000,30.18
28,F,N,1000000,35.22
28,F,Y,100000,15.00
28,F,Y,150000,15.00
28,F,Y,200000,17.80
28,F,Y,250000,21.05
28,F,Y,300000,23.35
28,F,Y,350000,26.65
28,F,Y,400000,30.31
