zip,smoking_RR,diabetes_RR
1083,0.994565217,1.197674419
1084,0.657608696,0.639534884
1085,1.02173913,1.139534884
1086,1.02173913,1.139534884
1088,0.657608696,0.639534884
1089,1.02173913,1.139534884
1090,1.02173913,1.139534884
1092,0.994565217,1.197674419
1093,1.331521739,1.302325581
1094,0.994565217,1.197674419
1095,1.02173913,1.139534884
1096,0.657608696,0.639534884
1097,1.02173913,1.139534884
1098,0.657608696,0.639534884
1101,1.02173913,1.139534884
1102,1.02173913,1.139534884
1103,1.02173913,1.139534884
1104,1.02173913,1.139534884
1105,1.02173913,1.139534884
1106,1.02173913,1.139534884
1107,1.02173913,1.139534884
1108,1.02173913,1.139534884
1109,1.02173913,1.139534884
1111,1.02173913,1.139534884
1115,1.02173913,1.139534884
1116,1.02173913,1.139534884
1118,1.02173913,1.139534884
1119,1.02173913,1.139534884
1128,1.02173913,1.139534884
1129,1.02173913,1.139534884
1133,1.02173913,1.139534884
1138,1.02173913,1.139534884
1139,1.02173913,1.139534884
1144,1.02173913,1.139534884
1151,1.02173913,1.139534884
1152,1.02173913,1.139534884
1195,1.02173913,1.139534884
1199,1.02173913,1.139534884
1201,0.923913043,0.837209302
1202,0.923913043,0.837209302
1203,0.923913043,0.837209302
1220,0.923913043,0.837209302
1222,0.923913043,0.837209302
1223,0.923913043,0.837209302
1224,0.923913043,0.837209302
1225,0.923913043,0.837209302
1226,0.923913043,0.837209302
1227,0.923913043,0.837209302
1229,0.923913043,0.837209302
1230,0.923913043,0.837209302
1235,0.923913043,0.837209302
1236,0.923913043,0.837209302
1237,0.923913043,0.837209302
1238,0.923913043,0.837209302
1240,0.923913043,0.837209302
1242,0.923913043,0.837209302
1243,0.657608696,0.639534884
1244,0.923913043,0.837209302
1245,0.923913043,0.837209302
1247,0.923913043,0.837209302
1252,0.923913043,0.837209302
1253,0.923913043,0.837209302
1254,0.923913043,0.837209302
1255,0.923913043,0.837209302
1256,0.923913043,0.837209302
1257,0.923913043,0.837209302
1258,0.923913043,0.837209302
1259,0.923913043,0.837209302
1260,0.923913043,0.837209302
1262,0.923913043,0.837209302
1263,0.923913043,0.837209302
1264,0.923913043,0.837209302
1266,0.923913043,0.837209302
1267,0.923913043,0.837209302
1270,0.923913043,0.837209302
1301,1.331521739,1.302325581
1302,1.331521739,1.302325581
1330,1.331521739,1.302325581
1331,0.994565217,1.197674419
1337,1.331521739,1.302325581
1338,1.331521739,1.302325581
1339,1.331521739,1.302325581
1340,1.331521739,1.302325581
1341,1.331521739,1.302325581
1342,1.331521739,1.302325581
1343,0.923913043,0.837209302
1344,1.331521739,1.302325581
1346,1.331521739,1.302325581
1347,1.331521739,1.302325581
1349,1.331521739,1.302325581
1350,1.331521739,1.302325581
1351,1.331521739,1.302325581
1354,1.331521739,1.302325581
1355,1.331521739,1.302325581
1360,1.331521739,1.302325581
1364,1.331521739,1.302325581
1366,0.994565217,1.197674419
1367,1.331521739,1.302325581
1368,0.994565217,1.197674419
1370,1.331521739,1.302325581
1373,1.331521739,1.302325581
1375,1.331521739,1.302325581
1376,1.331521739,1.302325581
1378,1.331521739,1.302325581
1379,1.331521739,1.302325581
1380,1.331521739,1.302325581
1420,0.994565217,1.197674419
1430,0.994565217,1.197674419
1431,0.815217391,0.76744186
1432,0.815217391,0.76744186
1434,0.994565217,1.197674419
1436,0.994565217,1.197674419
1438,0.994565217,1.197674419
1440,0.994565217,1.197674419
1441,0.994565217,1.197674419
1450,0.815217391,0.76744186
1451,0.994565217,1.197674419
1452,0.994565217,1.197674419
1453,0.994565217,1.197674419
1460,0.815217391,0.76744186
1462,0.994565217,1.197674419
1463,0.815217391,0.76744186
1464,0.815217391,0.76744186
1467,0.994565217,1.197674419
1468,0.994565217,1.197674419
1469,0.815217391,0.76744186
