drinks/wk,diabetes_RR,smoking_RR
0,1.022342399,0.479597949
2.428571429,0.795155199,0.808960397
6.5,0.567968,1.040091939
13.28571429,1.249529599,1.097874824
41.71428571,1.363123199,1.617920793
